Tanggal_Penerbangan,Hari,Maskapai,Nomor_Penerbangan,Bandara_Asal,Kode_IATA_Asal,Bandara_Tujuan,Kode_IATA_Tujuan,Jadwal_Keberangkatan,Jadwal_Kedatangan,Kota_tujuan,Cuaca_tujuan,Deskripsi_tujuan,Suhu_Celcius_tujuan,Kelembaban_%_tujuan,Tekanan_hPa_tujuan,Kecepatan_Angin_m/s_tujuan,Tanggal_tujuan
2025-07-28,Senin,China Airlines,CI9668,Soekarno-Hatta International,CGK,Juanda,SUB,410,505,Surabaya,Clear,cerah,24.7,79,1012,2.2,2025-07-28
2025-07-28,Senin,Garuda Indonesia,GA304,Soekarno-Hatta International,CGK,Juanda,SUB,410,505,Surabaya,Clear,cerah,24.7,79,1012,2.2,2025-07-28
2025-07-28,Senin,Vietnam Airlines,VN3884,Soekarno-Hatta International,CGK,Juanda,SUB,410,505,Surabaya,Clear,cerah,24.7,79,1012,2.2,2025-07-28
2025-07-28,Senin,Pelita Air,IP200,Soekarno-Hatta International,CGK,Juanda,SUB,415,510,Surabaya,Clear,cerah,24.7,79,1012,2.2,2025-07-28
2025-07-28,Senin,Citilink,QG212,Soekarno-Hatta International,CGK,Hasanudin,UPG,310,515,Makassar,Clear,cerah,25.2,78,1010,3.1,2025-07-28
2025-07-28,Senin,Citilink,QG952,Soekarno-Hatta International,CGK,Minangkabau International Airport,PDG,420,535,Padang,Mist,berkabut,28.7,86,1006,1.9,2025-07-28
2025-07-28,Senin,AirAsia,AK802,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,380,550,Denpasar,Mist,berkabut,31.2,86,1008,3.7,2025-07-28
2025-07-28,Senin,Batik Air,ID6554,Soekarno-Hatta International,CGK,Hasanudin,UPG,360,560,Makassar,Clear,cerah,25.2,78,1010,3.1,2025-07-28
2025-07-28,Senin,Batik Air,ID6236,Soekarno-Hatta International,CGK,Hasanudin,UPG,360,560,Makassar,Clear,cerah,25.2,78,1010,3.1,2025-07-28
2025-07-28,Senin,Super Air Jet,IU756,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,390,560,Denpasar,Mist,berkabut,31.2,86,1008,3.7,2025-07-28
2025-07-28,Senin,Super Air Jet,IU812,Soekarno-Hatta International,CGK,Minangkabau International Airport,PDG,460,565,Padang,Mist,berkabut,28.7,86,1006,1.9,2025-07-28
2025-07-28,Senin,TransNusa,8B5104,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,405,570,Denpasar,Mist,berkabut,31.2,86,1008,3.7,2025-07-28
2025-07-28,Senin,Batik Air,ID6584,Soekarno-Hatta International,CGK,Juanda,SUB,490,575,Surabaya,Clear,cerah,24.7,79,1012,2.2,2025-07-28
2025-07-28,Senin,Citilink,QG722,Soekarno-Hatta International,CGK,Juanda,SUB,490,590,Surabaya,Thunderstorm,badai petir,24.0,75,1014,1.8,2025-07-28
2025-07-28,Senin,Pelita Air,IP210,Soekarno-Hatta International,CGK,Juanda,SUB,505,595,Surabaya,Thunderstorm,badai petir,24.0,75,1014,1.8,2025-07-28
2025-07-28,Senin,Turkish Airlines,TK9364,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,425,610,Denpasar,Clear,cerah,27.5,74,1006,3.1,2025-07-28
2025-07-28,Senin,Philippine Airlines,PR3284,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,425,610,Denpasar,Clear,cerah,27.5,74,1006,3.1,2025-07-28
2025-07-28,Senin,Vietnam Airlines,VN3792,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,425,610,Denpasar,Clear,cerah,27.5,74,1006,3.1,2025-07-28
2025-07-28,Senin,Etihad Airways,EY7105,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,425,610,Denpasar,Clear,cerah,27.5,74,1006,3.1,2025-07-28
2025-07-28,Senin,Emirates,EK7253,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,425,610,Denpasar,Clear,cerah,27.5,74,1006,3.1,2025-07-28
2025-07-28,Senin,Garuda Indonesia,GA402,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,425,610,Denpasar,Clear,cerah,27.5,74,1006,3.1,2025-07-28
2025-07-28,Senin,Japan Airlines,JL6915,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,425,610,Denpasar,Clear,cerah,27.5,74,1006,3.1,2025-07-28
2025-07-28,Senin,Super Air Jet,IU250,Soekarno-Hatta International,CGK,Hasanudin,UPG,420,620,Makassar,Clouds,berawan,24.6,78,1010,2.0,2025-07-28
